Country or region,year,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Score
Niger,2018,0.131,0.867,0.221,0.39,0.175,0.099,4.166
Uganda,2018,0.322,1.09,0.237,0.45,0.259,0.061,4.161
Benin,2018,0.378,0.372,0.24,0.44,0.163,0.067,4.141
Sudan,2018,0.605,1.24,0.312,0.016,0.134,0.082,4.139
Ukraine,2018,0.793,1.413,0.609,0.163,0.187,0.011,4.103
Togo,2018,0.259,0.474,0.253,0.434,0.158,0.101,3.999
Guinea,2018,0.344,0.792,0.211,0.394,0.185,0.094,3.964
Lesotho,2018,0.472,1.215,0.079,0.423,0.116,0.112,3.808
Angola,2018,0.73,1.125,0.269,0,0.079,0.061,3.795
Madagascar,2018,0.262,0.908,0.402,0.221,0.155,0.049,3.774
Zimbabwe,2018,0.357,1.094,0.248,0.406,0.132,0.099,3.692
Afghanistan,2018,0.332,0.537,0.255,0.085,0.191,0.036,3.632
Botswana,2018,1.017,1.174,0.417,0.557,0.042,0.092,3.59
Malawi,2018,0.186,0.541,0.306,0.531,0.21,0.08,3.587
Haiti,2018,0.315,0.714,0.289,0.025,0.392,0.104,3.582
Liberia,2018,0.076,0.858,0.267,0.419,0.206,0.03,3.495
Syria,2018,0.689,0.382,0.539,0.088,0.376,0.144,3.462
Rwanda,2018,0.332,0.896,0.4,0.636,0.2,0.444,3.408
Yemen,2018,0.442,1.073,0.343,0.244,0.083,0.064,3.355
Tanzania,2018,0.455,0.991,0.381,0.481,0.27,0.097,3.303
South Sudan,2018,0.337,0.608,0.177,0.112,0.224,0.106,3.254
Central African Republic,2018,0.024,0,0.01,0.305,0.218,0.038,3.083
Burundi,2018,0.091,0.627,0.145,0.065,0.149,0.076,2.905
